Date;CPI;FFR;UR;MB;M2
1960-01-01;1.4;3.93;5.1;49933;298.6
1960-04-01;1.8;3.70;5.2;49800;301.1
1960-07-01;1.4;2.94;5.5;50233;306.5
1960-10-01;1.4;2.30;6.3;50067;310.9
1961-01-01;1.5;2.00;6.8;48633;316.3
1961-04-01;0.9;1.73;7.0;48633;322.1
1961-07-01;1.2;1.68;6.8;49367;327.6
1961-10-01;0.7;2.40;6.2;50600;333.3
1962-01-01;0.9;2.46;5.6;50133;340.2
1962-04-01;1.3;2.61;5.5;50600;347.4
1962-07-01;1.2;2.85;5.6;51267;352.8
1962-10-01;1.3;2.92;5.5;51733;359.9
1963-01-01;1.2;2.97;5.8;51267;367.9
1963-04-01;1.0;2.96;5.7;51800;375.9
1963-07-01;1.4;3.33;5.5;52767;383.6
1963-10-01;1.4;3.45;5.6;53933;391.0
1964-01-01;1.5;3.46;5.5;53833;397.5
1964-04-01;1.5;3.49;5.2;54433;404.3
1964-07-01;1.1;3.46;5.0;55567;413.5
1964-10-01;1.3;3.58;5.0;56900;421.9
1965-01-01;1.2;3.98;4.9;56767;430.4
1965-04-01;1.6;4.08;4.7;57367;437.5
1965-07-01;1.7;4.08;4.4;58400;446.1
1965-10-01;1.8;4.17;4.1;59900;455.8
1966-01-01;2.4;4.56;3.9;60067;464.6
1966-04-01;2.7;4.91;3.8;60733;470.2
1966-07-01;3.3;5.41;3.8;62067;473.0
1966-10-01;3.6;5.56;3.7;63267;477.7
1967-01-01;2.9;4.82;3.8;63433;485.5
1967-04-01;2.6;3.99;3.8;63567;497.1
1967-07-01;2.7;3.89;3.8;64900;510.6
1967-10-01;3.0;4.17;3.9;66733;521.4
1968-01-01;3.7;4.79;3.7;67467;530.3
1968-04-01;4.1;5.98;3.6;68333;539.1
1968-07-01;4.5;5.95;3.5;69867;549.5
1968-10-01;4.6;5.92;3.4;71867;562.3
1969-01-01;4.9;6.57;3.4;72233;571.9
1969-04-01;5.5;8.33;3.4;73100;576.9
1969-07-01;5.5;8.98;3.6;73767;580.6
1969-10-01;5.8;8.94;3.6;75600;585.6
1970-01-01;6.2;8.57;4.2;75633;587.7
1970-04-01;6.0;7.89;4.8;76600;591.7
1970-07-01;5.7;6.71;5.2;78300;605.1
1970-10-01;5.6;5.57;5.8;79733;621.3
1971-01-01;4.8;3.86;5.9;80867;641.3
1971-04-01;4.3;4.57;5.9;82300;666.0
1971-07-01;4.3;5.48;6.0;84233;685.9
1971-10-01;3.5;4.75;5.9;85667;704.4
1972-01-01;3.5;3.55;5.8;86667;725.6
1972-04-01;3.2;4.30;5.7;88433;743.8
1972-07-01;3.0;4.74;5.6;90133;768.8
1972-10-01;3.3;5.15;5.4;91100;794.4
1973-01-01;4.1;6.54;4.9;91033;813.2
1973-04-01;5.6;7.82;4.9;93133;826.6
1973-07-01;6.8;10.56;4.8;95867;838.2
1973-10-01;8.4;10.00;4.8;98633;849.0
1974-01-01;9.9;9.32;5.1;99700;864.7
1974-04-01;10.5;11.25;5.2;102700;875.1
1974-07-01;11.5;12.09;5.6;105133;884.5
1974-10-01;12.0;9.35;6.6;107067;898.0
1975-01-01;11.1;6.30;8.3;106300;915.1
1975-04-01;9.5;5.42;8.9;107400;948.7
1975-07-01;8.7;6.16;8.5;109267;983.2
1975-10-01;7.4;5.41;8.3;111300;1007.0
1976-01-01;6.3;4.83;7.7;111267;1039.0
1976-04-01;6.0;5.20;7.6;113700;1070.2
1976-07-01;5.6;5.28;7.7;115567;1098.6
1976-10-01;5.2;4.87;7.8;118400;1138.4
1977-01-01;5.9;4.66;7.5;118733;1177.1
1977-04-01;6.8;5.16;7.1;121133;1208.8
1977-07-01;6.6;5.82;6.9;124233;1236.6
1977-10-01;6.6;6.51;6.7;127733;1262.2
1978-01-01;6.5;6.76;6.3;129333;1285.8
1978-04-01;7.0;7.28;6.0;132367;1309.8
1978-07-01;8.0;8.10;6.0;135700;1334.2
1978-10-01;8.9;9.58;5.9;141000;1359.1
1979-01-01;9.8;10.07;5.9;142733;1379.1
1979-04-01;10.8;10.18;5.7;144933;1411.8
1979-07-01;11.7;10.95;5.9;148767;1445.2
1979-10-01;12.6;13.58;6.0;154000;1466.7
1980-01-01;14.2;15.05;6.3;154967;1492.4
1980-04-01;14.4;12.69;7.3;158233;1514.6
1980-07-01;12.9;9.84;7.7;159233;1560.3
1980-10-01;12.5;15.85;7.4;162100;1593.5
1981-01-01;11.3;16.57;7.4;159967;1620.7
1981-04-01;9.9;17.78;7.4;163167;1664.6
1981-07-01;10.9;17.58;7.4;165600;1694.1
1981-10-01;9.6;13.59;8.2;167633;1737.8
1982-01-01;7.6;14.23;8.8;167833;1777.1
1982-04-01;6.9;14.51;9.4;170133;1815.1
1982-07-01;5.8;11.01;9.9;173600;1845.0
1982-10-01;4.4;9.29;10.7;177733;1886.4
1983-01-01;3.6;8.65;10.4;177733;1990.5
1983-04-01;3.3;8.80;10.1;181567;2041.7
1983-07-01;2.5;9.46;9.4;185200;2074.0
1983-10-01;3.2;9.43;8.5;189233;2111.7
1984-01-01;4.6;9.69;7.9;189067;2157.2
1984-04-01;4.4;10.56;7.4;193567;2203.6
1984-07-01;4.3;11.39;7.4;197367;2232.8
1984-10-01;4.2;9.27;7.3;201167;2282.2
1985-01-01;3.6;8.48;7.2;202033;2350.9
1985-04-01;3.6;7.92;7.3;207467;2392.5
1985-07-01;3.4;7.90;7.2;213267;2443.3
1985-10-01;3.5;8.10;7.0;220067;2479.3
1986-01-01;3.1;7.83;7.0;220300;2516.0
1986-04-01;1.7;6.92;7.2;227200;2582.5
1986-07-01;1.7;6.21;7.0;233767;2647.0
1986-10-01;1.3;6.27;6.8;242533;2705.6
1987-01-01;2.0;6.22;6.6;244767;2748.4
1987-04-01;3.7;6.65;6.3;251033;2771.7
1987-07-01;4.2;6.84;6.0;255233;2788.9
1987-10-01;4.4;6.92;5.8;262467;2820.0
1988-01-01;4.0;6.66;5.7;263467;2869.5
1988-04-01;4.0;7.16;5.5;270100;2925.0
1988-07-01;4.1;7.98;5.5;275267;2952.0
1988-10-01;4.3;8.47;5.3;279467;2977.9
1989-01-01;4.7;9.44;5.2;278767;2994.5
1989-04-01;5.2;9.73;5.2;281967;3015.2
1989-07-01;4.7;9.08;5.2;284533;3073.1
1989-10-01;4.6;8.61;5.4;288767;3133.3
1990-01-01;5.2;8.25;5.3;291067;3178.7
1990-04-01;4.6;8.24;5.3;298800;3205.3
1990-07-01;5.6;8.16;5.7;305667;3240.4
1990-10-01;6.3;7.74;6.1;312600;3264.6
1991-01-01;5.3;6.43;6.6;309200;3304.7
1991-04-01;4.8;5.86;6.8;315500;3342.4
1991-07-01;3.9;5.64;6.9;320633;3355.3
1991-10-01;3.0;4.82;7.1;328967;3365.9
1992-01-01;2.9;4.02;7.4;333300;3395.0
1992-04-01;3.1;3.77;7.6;334900;3397.2
1992-07-01;3.1;3.26;7.6;343333;3401.0
1992-10-01;3.1;3.04;7.4;355867;3425.0
1993-01-01;3.2;3.04;7.1;360933;3415.1
1993-04-01;3.1;3.00;7.1;371800;3430.2
1993-07-01;2.8;3.06;6.8;381567;3446.6
1993-10-01;2.8;2.99;6.6;392933;3467.1
1994-01-01;2.5;3.21;6.6;398833;3476.9
1994-04-01;2.4;3.94;6.2;408533;3483.9
