YEARS,JPN,KOR,TWN,CAN,USA,AUS,NZL,AUT,BEL,DNK,FIN,FRA,DEU,GRC,IRL,ITA,NLD,NOR,PRT,ESP,SWE,CHE,GBR
1950,282303,27331,11688,205320,2305872,125388,29856,60096,103128,65152,34999,435312,648700,37274,22986,392015,135759,41466,40318,143338,97676,114338,590091
1951,317482,25228,12624,216969,2491397,132395,30727,64207,108994,65587,37975,462126,708166,40557,23563,421281,138606,43713,42124,157581,101510,123597,611933
1952,354277,26866,14136,232757,2593258,135804,30166,64263,108146,66229,39248,474392,769564,40848,24158,452814,141400,45254,42179,170440,102226,124615,621154
1953,380381,34656,15456,243633,2714835,138528,31337,67059,111610,69997,39523,488086,833995,46443,24810,485483,153690,47051,45122,169884,103903,129001,655675
1954,401886,36689,16930,241949,2699133,144979,33992,73912,116203,71357,42983,511761,896173,47889,25032,510664,164138,49426,47287,182786,108904,136268,684199
1955,436443,38680,18302,264544,2891671,153444,36592,82082,121717,72126,45173,541144,994786,51508,25684,540382,176317,50517,49237,190071,111721,145438,711644
1956,469260,38864,19309,285946,2953297,160267,37876,87729,125251,72998,46538,568530,1066082,55905,25349,564883,182798,53213,51387,205532,115907,155094,723655
1957,503570,41860,20730,294226,3015482,164626,39396,93102,127585,78537,48726,602761,1127161,59548,25311,598232,187938,54818,53662,212107,119639,161254,737966
1958,532906,44054,22121,299489,2993142,170213,40732,96502,127443,80306,48989,617880,1177345,62303,24790,630220,187380,54818,54367,221273,122624,157841,747871
1959,581509,45762,23814,311630,3200844,179537,42977,99244,131472,86279,51900,635566,1263451,64590,25794,669467,196541,57128,57310,216191,128002,167765,779811
1960,657834,46671,25158,321313,3283216,188817,44481,107414,138540,88690,56647,680352,1365298,67389,27245,705765,213078,60343,61137,219616,135295,179504,829110
1961,737029,49028,26889,330795,3367387,188898,45707,113117,145280,94312,60964,718150,1421538,73298,28546,765203,213694,64125,64476,247775,142903,194035,851285
1962,802790,50514,29013,355353,3573711,199086,47471,115857,152767,99517,62865,765894,1482177,76051,29476,824866,228331,65931,68757,276240,149379,203337,860441
1963,870788,54965,31726,374366,3729348,211509,49476,120573,159507,100141,64936,805681,1523957,83782,30871,883622,236598,68452,72838,304453,156765,213305,902037
1964,972395,59712,35598,399231,3944205,224478,52248,127810,170739,109509,68218,859393,1616587,90666,32080,918107,256209,71859,77640,334393,167348,224514,953480
1965,1029034,63308,39561,424455,4200490,235841,55184,131485,176732,114505,71845,901169,1698544,99181,32639,938751,269616,75676,83419,356527,175737,231647,973614
1966,1138550,70931,43087,452914,4477554,242328,58682,138886,182348,117630,73571,946923,1748892,105237,32918,987752,277047,78538,86813,383140,181129,237317,988694
1967,1264724,76090,47702,466921,4600352,260141,59107,143109,189462,121584,75125,990688,1754312,111012,34870,1058078,291627,83444,93366,408872,188139,244581,1016026
1968,1427568,85802,52078,490244,4826487,273627,57696,149468,197325,126581,76853,1034454,1846850,118409,37753,1146554,310343,85318,101672,433419,195913,253353,1071412
