Quarters;CONS;INV;GOV;EXP;IMP
1947-01-01;64.2;14.7;16.6;7.6;3.1
1947-04-01;65.1;14.0;16.3;7.9;3.3
1947-07-01;65.5;14.0;15.8;7.8;3.1
1947-10-01;64.6;16.7;15.2;6.8;3.2
1948-01-01;64.1;17.8;15.4;6.4;3.6
1948-04-01;63.9;18.5;15.7;5.6;3.7
1948-07-01;63.4;18.8;16.0;5.5;3.7
1948-10-01;63.5;18.3;16.6;5.2;3.6
1949-01-01;64.3;15.7;17.7;5.8;3.5
1949-04-01;65.8;13.4;18.6;5.8;3.5
1949-07-01;65.2;14.5;18.5;5.2;3.3
1949-10-01;66.6;13.8;18.4;4.5;3.4
1950-01-01;65.1;16.6;17.4;4.2;3.4
1950-04-01;64.3;18.0;17.1;4.1;3.5
1950-07-01;65.1;19.0;16.1;4.0;4.2
1950-10-01;61.9;21.4;16.8;4.2;4.3
1951-01-01;62.3;19.2;18.5;4.5;4.4
1951-04-01;59.6;19.6;20.3;5.0;4.4
1951-07-01;59.1;17.6;22.2;5.1;4.1
1951-10-01;59.4;16.0;23.4;5.1;3.9
1952-01-01;59.2;16.2;23.6;5.2;4.2
1952-04-01;60.1;14.7;24.6;4.6;4.1
1952-07-01;59.7;15.6;24.7;4.1;4.1
1952-10-01;59.8;15.9;24.5;4.0;4.3
1953-01-01;59.6;15.9;24.7;3.9;4.1
1953-04-01;59.5;15.9;25.0;3.9;4.2
1953-07-01;59.7;15.7;24.7;4.0;4.2
1953-10-01;60.4;14.6;25.1;3.9;4.0
1954-01-01;61.0;14.5;24.6;3.7;3.8
1954-04-01;61.6;14.4;24.0;4.3;4.2
1954-07-01;61.5;15.1;23.3;4.1;3.9
1954-10-01;61.3;15.5;22.9;4.2;3.9
1955-01-01;60.9;16.6;22.2;4.2;3.9
1955-04-01;60.8;17.2;22.0;4.0;4.1
1955-07-01;60.6;17.4;21.9;4.2;4.0
1955-10-01;60.5;18.0;21.4;4.2;4.1
1956-01-01;60.5;17.8;21.6;4.4;4.3
1956-04-01;60.3;17.3;22.0;4.7;4.3
1956-07-01;60.3;17.3;21.8;4.8;4.3
1956-10-01;60.3;16.8;22.0;5.0;4.0
1957-01-01;60.0;16.5;22.4;5.3;4.3
1957-04-01;60.2;16.5;22.4;5.2;4.3
1957-07-01;60.2;16.5;22.4;5.0;4.1
1957-10-01;61.1;15.0;23.2;4.8;4.1
1958-01-01;62.0;14.3;23.5;4.4;4.2
1958-04-01;62.0;13.8;24.1;4.4;4.3
1958-07-01;61.3;14.8;23.7;4.2;4.1
1958-10-01;60.4;16.0;23.6;4.1;4.2
1959-01-01;60.6;16.3;23.0;4.3;4.2
1959-04-01;60.4;17.1;22.7;4.2;4.3
1959-07-01;61.1;15.9;22.8;4.6;4.4
1959-10-01;61.1;16.4;22.4;4.4;4.3
1960-01-01;60.1;17.8;21.6;4.8;4.3
1960-04-01;61.4;16.1;21.9;5.0;4.3
1960-07-01;60.9;15.8;22.4;5.1;4.2
1960-10-01;61.8;14.1;23.0;5.1;4.0
1961-01-01;61.4;14.4;23.2;5.1;4.0
1961-04-01;61.1;15.1;22.9;4.8;3.9
1961-07-01;60.3;16.0;22.9;4.9;4.1
1961-10-01;60.2;16.0;23.0;4.9;4.1
1962-01-01;59.7;16.5;23.1;4.8;4.1
1962-04-01;60.0;16.1;23.1;4.9;4.1
1962-07-01;59.8;16.1;23.3;4.9;4.1
1962-10-01;60.5;15.5;23.4;4.7;4.2
1963-01-01;60.2;16.0;23.1;4.7;4.1
1963-04-01;60.1;16.1;22.9;5.0;4.1
1963-07-01;59.8;16.2;23.3;4.8;4.1
1963-10-01;59.6;16.4;23.1;5.0;4.1
1964-01-01;59.7;16.5;22.8;5.1;4.0
1964-04-01;60.0;16.3;22.7;5.0;4.1
1964-07-01;60.2;16.3;22.5;5.1;4.1
1964-10-01;60.1;16.5;22.4;5.2;4.2
1965-01-01;59.9;17.6;21.9;4.6;4.0
1965-04-01;59.8;17.4;21.9;5.3;4.3
1965-07-01;59.5;17.5;22.3;5.0;4.3
1965-10-01;59.6;17.3;22.4;5.1;4.4
1966-01-01;59.1;18.1;22.2;4.9;4.4
1966-04-01;59.0;17.8;22.6;5.1;4.5
1966-07-01;59.1;17.5;23.1;5.0;4.7
1966-10-01;58.8;17.5;23.2;5.1;4.7
1967-01-01;58.6;16.9;24.0;5.2;4.7
1967-04-01;59.3;16.2;24.0;5.1;4.6
1967-07-01;59.0;16.5;24.1;5.0;4.6
1967-10-01;58.8;16.8;24.2;5.0;4.7
1968-01-01;59.0;16.7;24.2;5.0;4.9
1968-04-01;58.9;17.0;23.9;5.0;4.9
1968-07-01;59.5;16.4;23.9;5.2;5.1
1968-10-01;59.4;16.6;23.9;5.1;5.0
1969-01-01;59.1;17.4;23.5;4.4;4.4
1969-04-01;59.3;17.1;23.5;5.3;5.2
1969-07-01;59.1;17.2;23.5;5.2;5.1
1969-10-01;59.8;16.5;23.4;5.4;5.1
1970-01-01;60.1;16.0;23.6;5.4;5.1
1970-04-01;60.1;16.1;23.3;5.7;5.2
1970-07-01;60.2;16.0;23.4;5.6;5.2
1970-10-01;60.6;15.3;23.8;5.6;5.3
1971-01-01;59.8;16.7;23.1;5.6;5.2
1971-04-01;60.0;17.1;23.0;5.4;5.5
1971-07-01;59.9;17.2;22.9;5.6;5.6
1971-10-01;60.6;16.7;22.9;5.0;5.2
1972-01-01;60.0;17.3;22.9;5.6;5.9
1972-04-01;59.8;17.9;22.6;5.3;5.6
1972-07-01;60.1;18.1;22.0;5.5;5.7
1972-10-01;60.2;18.0;22.0;5.7;6.0
1973-01-01;59.9;18.5;21.7;6.1;6.2
