Qurters,USA,UK
01/01/1954,5.3,1.88
01/04/1954,5.8,1.79
01/07/1954,6,1.74
01/10/1954,5.3,1.68
01/01/1955,4.7,1.6
01/04/1955,4.4,1.55
01/07/1955,4.1,1.53
01/10/1955,4.2,1.53
01/01/1956,4,1.56
01/04/1956,4.2,1.59
01/07/1956,4.1,1.7
01/10/1956,4.1,1.71
01/01/1957,3.9,1.81
01/04/1957,4.1,1.84
01/07/1957,4.2,1.89
01/10/1957,4.9,2.02
01/01/1958,6.3,2.23
01/04/1958,7.4,2.49
01/07/1958,7.3,2.66
01/10/1958,6.4,2.73
01/01/1959,5.8,2.75
01/04/1959,5.1,2.71
01/07/1959,5.3,2.64
01/10/1959,5.6,2.46
01/01/1960,5.1,2.28
01/04/1960,5.2,2.17
01/07/1960,5.5,2.08
01/10/1960,6.3,2.03
01/01/1961,6.8,2.03
01/04/1961,7,1.99
01/07/1961,6.8,2.08
01/10/1961,6.2,2.18
01/01/1962,5.6,2.31
01/04/1962,5.5,2.5
01/07/1962,5.6,2.7
01/10/1962,5.5,2.89
01/01/1963,5.8,3.31
01/04/1963,5.7,3.16
01/07/1963,5.5,3.07
01/10/1963,5.6,2.86
01/01/1964,5.5,2.6
01/04/1964,5.2,2.43
01/07/1964,5,2.34
01/10/1964,5,2.23
01/01/1965,4.9,2.25
01/04/1965,4.7,2.26
01/07/1965,4.4,2.28
01/10/1965,4.1,2.25
01/01/1966,3.9,2.24
01/04/1966,3.8,2.32
01/07/1966,3.8,2.45
01/10/1966,3.7,2.88
01/01/1967,3.8,3.16
01/04/1967,3.8,3.35
01/07/1967,3.8,3.48
01/10/1967,3.9,3.49
01/01/1968,3.7,3.5
01/04/1968,3.6,3.52
01/07/1968,3.5,3.48
01/10/1968,3.4,3.46
01/01/1969,3.4,3.46
01/04/1969,3.4,3.46
01/07/1969,3.6,3.5
01/10/1969,3.6,3.58
01/01/1970,4.2,3.65
01/04/1970,4.8,3.73
01/07/1970,5.2,3.8
01/10/1970,5.8,3.82
01/01/1971,5.9,3.84
01/04/1971,5.9,4.07
01/07/1971,6,4.23
01/10/1971,5.9,4.43
01/01/1972,5.8,4.5
01/04/1972,5.7,4.43
01/07/1972,5.6,4.27
01/10/1972,5.4,4.17
01/01/1973,4.9,3.9
01/04/1973,4.9,3.73
01/07/1973,4.8,3.57
01/10/1973,4.8,3.43
01/01/1974,5.1,3.57
01/04/1974,5.2,3.6
01/07/1974,5.6,3.7
01/10/1974,6.6,3.73
01/01/1975,8.3,4
01/04/1975,8.9,4.33
01/07/1975,8.5,4.7
01/10/1975,8.3,5
01/01/1976,7.7,5.27
01/04/1976,7.6,5.4
01/07/1976,7.7,5.47
01/10/1976,7.8,5.5
01/01/1977,7.5,5.5
01/04/1977,7.1,5.53
01/07/1977,6.9,5.67
01/10/1977,6.7,5.7
01/01/1978,6.3,5.6
01/04/1978,6,5.57
01/07/1978,6,5.5
01/10/1978,5.9,5.37
01/01/1979,5.9,5.33
01/04/1979,5.7,5.3
01/07/1979,5.9,5.37
01/10/1979,6,5.5
01/01/1980,6.3,5.83
01/04/1980,7.3,6.3
01/07/1980,7.7,7.1
01/10/1980,7.4,8
01/01/1981,7.4,8.87
01/04/1981,7.4,9.57
01/07/1981,7.4,9.9
01/10/1981,8.2,10.2
01/01/1982,8.8,10.43
01/04/1982,9.4,10.57
01/07/1982,9.9,10.8
01/10/1982,10.7,11.1
01/01/1983,10.4,11.27
01/04/1983,10.1,11.4
01/07/1983,9.4,11.53
01/10/1983,8.5,11.67
01/01/1984,7.9,11.83
01/04/1984,7.4,11.87
01/07/1984,7.4,11.73
01/10/1984,7.3,11.63
01/01/1985,7.2,11.47
01/04/1985,7.3,11.37
01/07/1985,7.2,11.3
01/10/1985,7,11.3
01/01/1986,7,11.3
01/04/1986,7.2,11.33
01/07/1986,7,11.37
01/10/1986,6.8,11.27
01/01/1987,6.6,11.1
01/04/1987,6.3,10.73
01/07/1987,6,10.2
01/10/1987,5.8,9.7
01/01/1988,5.7,9.2
01/04/1988,5.5,8.73
01/07/1988,5.5,8.4
01/10/1988,5.3,8.03
01/01/1989,5.2,7.57
01/04/1989,5.2,7.23
01/07/1989,5.2,7.1
01/10/1989,5.4,7
01/01/1990,5.3,6.9
01/04/1990,5.3,6.9
01/07/1990,5.7,7.1
01/10/1990,6.1,7.47
01/01/1991,6.6,8
01/04/1991,6.8,8.67
01/07/1991,6.9,9.17
01/10/1991,7.1,9.47
01/01/1992,7.4,9.7
01/04/1992,7.6,9.83
01/07/1992,7.6,9.97
01/10/1992,7.4,10.37
01/01/1993,7.1,10.63
01/04/1993,7.1,10.43
01/07/1993,6.8,10.27
01/10/1993,6.6,10.27
01/01/1994,6.6,9.93
01/04/1994,6.2,9.67
01/07/1994,6,9.4
01/10/1994,5.6,9
01/01/1995,5.5,8.87
01/04/1995,5.7,8.73
01/07/1995,5.7,8.6
01/10/1995,5.6,8.43
01/01/1996,5.5,8.27
01/04/1996,5.5,8.27
01/07/1996,5.3,8.1
01/10/1996,5.3,7.83
01/01/1997,5.2,7.33
01/04/1997,5,7.23
01/07/1997,4.9,6.87
01/10/1997,4.7,6.5
01/01/1998,4.6,6.37
01/04/1998,4.4,6.3
01/07/1998,4.5,6.23
01/10/1998,4.4,6.17
01/01/1999,4.3,6.2
01/04/1999,4.3,6.03
01/07/1999,4.2,5.87
01/10/1999,4.1,5.83
01/01/2000,4,5.77
01/04/2000,3.9,5.47
01/07/2000,4,5.33
01/10/2000,3.9,5.23
01/01/2001,4.2,5.1
01/04/2001,4.4,4.97
01/07/2001,4.8,5.1
01/10/2001,5.5,5.17
01/01/2002,5.7,5.17
01/04/2002,5.8,5.2
01/07/2002,5.7,5.23
01/10/2002,5.9,5.1
01/01/2003,5.9,5.13
01/04/2003,6.1,5
01/07/2003,6.1,5.03
01/10/2003,5.8,4.87
01/01/2004,5.7,4.8
01/04/2004,5.6,4.8
01/07/2004,5.4,4.7
01/10/2004,5.4,4.7
01/01/2005,5.3,4.73
01/04/2005,5.1,4.77
01/07/2005,5,4.77
01/10/2005,5,5.1
01/01/2006,4.7,5.23
01/04/2006,4.6,5.47
01/07/2006,4.6,5.5
01/10/2006,4.4,5.47
01/01/2007,4.5,5.5
01/04/2007,4.5,5.37
01/07/2007,4.7,5.27
01/10/2007,4.8,5.2
01/01/2008,5,5.23
01/04/2008,5.3,5.37
01/07/2008,6,5.87
01/10/2008,6.9,6.37
01/01/2009,8.3,7.03
01/04/2009,9.3,7.77
01/07/2009,9.6,7.87
01/10/2009,9.9,7.77
01/01/2010,9.8,7.97
01/04/2010,9.6,7.87
01/07/2010,9.5,7.83
01/10/2010,9.5,7.9
01/01/2011,9,7.77
01/04/2011,9.1,7.9
01/07/2011,9,8.3
01/10/2011,8.6,8.4
01/01/2012,8.3,8.23
01/04/2012,8.2,8.07
01/07/2012,8,7.9
01/10/2012,7.8,7.8
01/01/2013,7.7,7.87
01/04/2013,7.5,7.73
01/07/2013,7.2,7.57
01/10/2013,6.9,7.2
01/01/2014,6.7,6.77
01/04/2014,6.2,6.27
01/07/2014,6.1,6
01/10/2014,5.7,5.77
01/01/2015,5.5,5.57
01/04/2015,5.4,5.57
01/07/2015,5.1,5.3
01/10/2015,5,5.1
01/01/2016,4.9,5.07
01/04/2016,4.9,4.9
01/07/2016,4.9,4.83
01/10/2016,4.8,4.77
